Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-08-31 08:30,MR_Short_Exit,4533.5,10,226762.5,87.5,0.04,0,87.5,0.04,-337.5,-0.15,87.5,0.01,1
1,Entry short,2023-08-31 08:00,MR_Short,4535.25,10,226762.5,87.5,0.04,0,87.5,0.04,-337.5,-0.15,87.5,0.01,1
2,Exit long,2023-08-31 16:30,Session Flatten,4517.75,10,226912.5,-1025,-0.45,0,75,0.03,-1262.5,-0.56,-937.5,-0.09,12
2,Entry long,2023-08-31 10:30,Sq_Long,4538.25,10,226912.5,-1025,-0.45,0,75,0.03,-1262.5,-0.56,-937.5,-0.09,12
3,Exit long,2023-08-31 19:30,MR_Long_Exit,4518.25,10,225825,87.5,0.04,0,87.5,0.04,-62.5,-0.03,-850,-0.08,2
3,Entry long,2023-08-31 18:30,MR_Long,4516.5,10,225825,87.5,0.04,0,87.5,0.04,-62.5,-0.03,-850,-0.08,2
4,Exit short,2023-09-01 04:00,MR_Short_Exit,4524.75,10,226337.5,100,0.04,0,100,0.04,-25,-0.01,-750,-0.07,0
4,Entry short,2023-09-01 04:00,MR_Short,4526.75,10,226337.5,100,0.04,0,100,0.04,-25,-0.01,-750,-0.07,0
5,Exit short,2023-09-01 05:30,MR_Short_Exit,4528.25,10,226512.5,100,0.04,0,100,0.04,-12.5,-0.01,-650,-0.06,0
5,Entry short,2023-09-01 05:30,MR_Short,4530.25,10,226512.5,100,0.04,0,100,0.04,-12.5,-0.01,-650,-0.06,0
6,Exit short,2023-09-01 08:30,MR_Short_Exit,4528,10,226500,100,0.04,0,100,0.04,-225,-0.10,-550,-0.05,4
6,Entry short,2023-09-01 06:30,MR_Short,4530,10,226500,100,0.04,0,100,0.04,-225,-0.10,-550,-0.05,4
7,Exit long,2023-09-01 12:00,MR_Long_Exit,4511.25,10,225462.5,100,0.04,0,100,0.04,-87.5,-0.04,-450,-0.04,0
7,Entry long,2023-09-01 12:00,MR_Long,4509.25,10,225462.5,100,0.04,0,100,0.04,-87.5,-0.04,-450,-0.04,0
8,Exit long,2023-09-01 13:30,MR_Long_Exit,4516,10,225700,100,0.04,0,100,0.04,-87.5,-0.04,-350,-0.03,0
8,Entry long,2023-09-01 13:30,MR_Long,4514,10,225700,100,0.04,0,100,0.04,-87.5,-0.04,-350,-0.03,0
9,Exit long,2023-09-01 14:30,MR_Long_Exit,4514,10,225600,100,0.04,0,100,0.04,-137.5,-0.06,-250,-0.02,0
9,Entry long,2023-09-01 14:30,MR_Long,4512,10,225600,100,0.04,0,100,0.04,-137.5,-0.06,-250,-0.02,0
10,Exit short,2023-09-04 07:00,MR_Short_Exit,4526.25,10,226425,112.5,0.05,0,112.5,0.05,-137.5,-0.06,-137.5,-0.01,7
10,Entry short,2023-09-04 03:30,MR_Short,4528.5,10,226425,112.5,0.05,0,112.5,0.05,-137.5,-0.06,-137.5,-0.01,7
11,Exit long,2023-09-04 18:00,MR_Long_Exit,4521.25,10,225962.5,100,0.04,0,100,0.04,-200,-0.09,-37.5,0.00,5
11,Entry long,2023-09-04 10:30,MR_Long,4519.25,10,225962.5,100,0.04,0,100,0.04,-200,-0.09,-37.5,0.00,5
12,Exit long,2023-09-04 21:30,MR_Long_Exit,4516.75,10,225750,87.5,0.04,0,87.5,0.04,-125,-0.06,50,0.01,2
12,Entry long,2023-09-04 20:30,MR_Long,4515,10,225750,87.5,0.04,0,87.5,0.04,-125,-0.06,50,0.01,2
13,Exit long,2023-09-05 00:30,MR_Long_Exit,4516.5,10,225725,100,0.04,0,100,0.04,-87.5,-0.04,150,0.02,5
